ADDRESS,COMM_CODE,COMM_NAME,ASSESSMENT_CLASS,ASSESSMENT_CLASS_DESCRIPTION,YEAR_OF_CONSTRUCTION,PROPERTY_TYPE,LAT,LON,LAND_SIZE_SM,LAND_SIZE_SF,ASSESSED_VALUE
16406 SOMERVALE LI SW,SOM,SOMERSET,RE,Residential,1997,LI,50.9005804,-114.0720648,289.1,3111.0,426500
2314 22 ST NW,BNF,BANFF TRAIL,RE,Residential,2014,LI,51.0712605,-114.1099772,279.2,3005.0,951000
304 10 SHAWNEE HL SW,SHS,SHAWNEE SLOPES,RE,Residential,2007,LI,50.9225067,-114.0759022,10249.1,110324.0,284000
69 4940 39 AV SW,GBK,GLENBROOK,RE,Residential,1976,LI,51.0206996,-114.1567392,22621.9,243500.0,321000
2103 650 10 ST SW,DNW,DOWNTOWN WEST END,RE,Residential,2000,LI,51.0479598,-114.0849264,2490.0,26802.0,469000
185 CRANBROOK PT SE,CRA,CRANSTON,RE,Residential,2021,LI,50.8751963,-113.9906171,923.2,9937.0,2440000
3308 45 ST SW,GBK,GLENBROOK,RE,Residential,1958,LI,51.0252003,-114.151849,499.0,5371.0,688500
57 MACEWAN RIDGE CL NW,MAC,MACEWAN,RE,Residential,1990,LI,51.1411147,-114.1150353,430.1,4629.0,706500
104 MASTERS WY SE,MAH,MAHOGANY,RE,Residential,2017,LI,50.8936286,-113.9232656,441.7,4754.0,1210000
4008 NEW BRIGHTON GV SE,NEB,NEW BRIGHTON,RE,Residential,2013,LI,50.9205689,-113.9335865,305.7,3290.0,563000
191V 888 4 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,RE,Residential,2010,LI,51.0500566,-114.0801799,639.2,6881.0,37000
338 EVANSPARK CI NW,EVN,EVANSTON,RE,Residential,2008,LI,51.1697344,-114.115249,451.1,4856.0,874000
37 ALPINE LN SW,ALP,ALPINE PARK,RE,Residential,2023,LI,50.9187879,-114.1443577,327.0,3520.0,930500
86 LAYCOCK DR NE,GRV,GREENVIEW,RE,Residential,1956,LI,51.0945793,-114.0612076,516.1,5555.0,636500
56 THAMES PL NW,THO,THORNCLIFFE,RE,Residential,1976,LI,51.1069949,-114.0788504,510.8,5499.0,738500
860 QUEENSLAND DR SE,QLD,QUEENSLAND,RE,Residential,1981,LI,50.9357499,-114.0167799,300.6,3236.0,499000
75 FAIRVIEW DR SE,FAI,FAIRVIEW,RE,Residential,1959,LI,50.985845,-114.065924,612.4,6592.0,651500
156 COVENTRY CI NE,COV,COVENTRY HILLS,RE,Residential,2001,LI,51.1608414,-114.0484879,485.7,5228.0,606000
4316 DOVERWOOD PL SE,DOV,DOVER,RE,Residential,1971,LI,51.0296798,-113.9730895,651.6,7014.0,651500
2631 12 AV NW,STA,ST. ANDREWS HEIGHTS,RE,Residential,1953,LI,51.0620461,-114.1235788,580.0,6243.0,912500
203 SADDLEBROOK PT NE,SAD,SADDLE RIDGE,RE,Residential,2008,LI,51.138468,-113.9338047,75.4,812.0,330500
293V 30 SIERRA MORENA LD SW,SIG,SIGNAL HILL,RE,Residential,2004,LI,51.0158347,-114.1898352,9270.0,99785.0,10000
